Aleph system no.,Country code,Language code (008),Language code (041),Imprint,Imprint_clean,Publisher_clean,Publisher_role,Publication_place_final,Place_QA_status,Wikidata_QID_manual_sample,Year_end,Year_start,Year_status,Publication_year,DOM ID
14602842,|||,und,,"London : Castell Bros., [1886.].","London : Castell Bros., [1886.].",Castell Bros.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1886,Supplied,1886,lsidyv2eb1ad90
14602846,|||,und,,"Leeds : Nutt & Co., [1896.].","Leeds : Nutt & Co., [1896.].",Nutt & Co.,Named publisher or ambiguous,Leeds,Likely clean single place,Q39121,,1896,Supplied,1896,lsidyv2eb1a6ef
14602856,|||,und,,"London : [W. Heinemann, 1899.].","London : [W. Heinemann, 1899.].",W. Heinemann,Named publisher or ambiguous,London,Likely clean single place,Q84,,1899,Exact,1899,lsidyv2eb1ac4d
14602859,|||,und,,"London, [1805?]","London, [1805?]",,Missing,London,Likely clean single place,Q84,,1805,Uncertain,1805,lsidyv2eb1d7fe
14602860,|||,und,,"London, [1805?]","London, [1805?]",,Missing,London,Likely clean single place,Q84,,1805,Uncertain,1805,lsidyv2eb1d8a3
14602881,|||,und,,"Birmingham : White & Pike, [1885?].","Birmingham : White & Pike, [1885?].",White & Pike,Named publisher or ambiguous,Birmingham,Likely clean single place,Q2256,,1885,Uncertain,1885,lsidyv2eb1c37c
14602912,|||,und,,"London : Church Missionary Society, [1898.].","London : Church Missionary Society, [1898.].",Church Missionary Society,Named publisher or ambiguous,London,Likely clean single place,Q84,,1898,Supplied,1898,lsidyv2eb22a4b
14602914,|||,und,,"London, 1866.","London, 1866.",,Missing,London,Likely clean single place,Q84,,1866,Exact,1866,lsidyv2eb1dd3e
14602922,|||,und,,"London : Diprose & Bateman, 1886.","London : Diprose & Bateman, 1886.",Diprose & Bateman,Named publisher or ambiguous,London,Likely clean single place,Q84,,1886,Exact,1886,lsidyv2eb1e424
14602959,|||,und,,"London, 1800.","London, 1800.",,Missing,London,Likely clean single place,Q84,,1800,Exact,1800,lsidyv2eb27209
14603008,|||,und,,"[London : The Author, 1803.].","[London : The Author, 1803.].",The Author,Author/self-publication statement,London,Likely clean single place,Q84,,1803,Exact,1803,lsidyv2eb388b3
14603017,|||,und,,"Hull : E. Wing & Son, 1885.","Hull : E. Wing & Son, 1885.",E. Wing & Son,Named publisher or ambiguous,Hull,Likely clean single place,,,1885,Exact,1885,lsidyv2eb35911
14603025,|||,und,,[1887.],[1887.],,Missing,,Missing,,,1887,Supplied,1887,lsidyv2eb31987
14603026,|||,und,,"London, 1897.","London, 1897.",,Missing,London,Likely clean single place,Q84,,1897,Exact,1897,lsidyv2eb345c3
14603035,|||,und,,"London : G. and T. Wilkie, 1785.","London : G. and T. Wilkie, 1785.",G. and T. Wilkie,Named publisher or ambiguous,London,Likely clean single place,Q84,,1785,Exact,1785,lsidyv2eb34991
14603252,|||,und,,"London, 1809.","London, 1809.",,Missing,London,Likely clean single place,Q84,,1809,Exact,1809,lsidyv2eb3f6c6
14603271,|||,und,,"London, 1799.","London, 1799.",,Missing,London,Likely clean single place,Q84,,1799,Exact,1799,lsidyv2eb452e7
14603274,|||,und,,"London : J. & R. Tonson & S. Draper, 1755.","London : J. & R. Tonson & S. Draper, 1755.",J. & R. Tonson & S. Draper,Named publisher or ambiguous,London,Likely clean single place,Q84,,1755,Exact,1755,lsidyv2eb3be9b
14603275,|||,und,,"London : J. & R. Tonson, 1756.","London : J. & R. Tonson, 1756.",J. & R. Tonson,Named publisher or ambiguous,London,Likely clean single place,Q84,,1756,Exact,1756,lsidyv2eb3c3cc
14603328,|||,und,,"London, [1752?]","London, [1752?]",,Missing,London,Likely clean single place,Q84,,1752,Uncertain,1752,lsidyv2eb67d27
14603333,|||,und,,"London : Printed for J. Debrett, 1789.","London : Printed for J. Debrett, 1789.",Printed for J. Debrett,Printer statement,London,Likely clean single place,Q84,,1789,Exact,1789,lsidyv2eb84bcf
14603334,|||,und,,"Privately printed; London, 1836.","Privately printed; London, 1836.",,Missing,Privately; London,Multiple places,,,1836,Exact,1836,lsidyv2eb7b7f3
14603403,|||,und,,"Bristol : Privately printed, [1840?].","Bristol : Privately printed, [1840?].",Privately printed,Printer statement,Bristol,Likely clean single place,,,1840,Uncertain,1840,lsidyv2eb93d65
14603445,|||,und,,"Glasgow, 1817.","Glasgow, 1817.",,Missing,Glasgow,Likely clean single place,Q4093,,1817,Exact,1817,lsidyv2eba0f7c
