Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal author,Author_review_status,Author_birth_year,Author_death_year,Author_name_clean,Author_reconciliation_status,Author_Wikidata_label,Author_Wikidata_QID,Corporate author,Title,Title_clean,Edition,Imprint,Series,Subjects,Other personal authors,Other_personal_authors_clean,Other_authors_structure,Other corporate authors,DOM ID,Type,Genre
014602842,|||,und,,,,missing,,,,blank,,,,"Songs for Christmas and the New Year, by Lucy A. Bennett, Rev. Richard Wilton [and others], etc. [electronic resource]","Songs for Christmas and the New Year, by Lucy A. Bennett, Rev. Richard Wilton [and others], etc.",,"London : Castell Bros., [1886.].",,,,,,,lsidyv2eb1ad90,song,Music
014602846,|||,und,,,"CURTIS, Walter.",unchanged,,,Walter Septimus Curtis,matched,Walter Septimus Curtis,Q109657334,,"Book of Word & Music of Humorous Songs, Burlesque Sketches, & Recitals. [With a portrait.] [electronic resource]","Book of Word & Music of Humorous Songs, Burlesque Sketches, & Recitals. [With a portrait.]",,"Leeds : Nutt & Co., [1896.].",,,,,,,lsidyv2eb1a6ef,song,Music
014602856,|||,und,,,"Henley, William Ernest, 1849-1903.",standardised,1849,1903,William Ernest Henley,matched,William Ernest Henley,Q552617,,Hawthorn and Lavender: songs and madrigals. [electronic resource],Hawthorn and Lavender: songs and madrigals.,,"London : [W. Heinemann, 1899.].",,,,,,,lsidyv2eb1ac4d,song,Music
014602859,|||,und,,,"INCLEDON, Benjamin Charles.",unchanged,,,Charles Incledon,matched,Charles Incledon,Q4201127,,"Variety: containing original and selected songs in the favourite entertainment now performing by C. I. of Covent Garden Theatre, etc. [electronic resource]","Variety: containing original and selected songs in the favourite entertainment now performing by C. I. of Covent Garden Theatre, etc.",,"London, [1805?]",,,,,,,lsidyv2eb1d7fe,song,Music
014602860,|||,und,,,"INCLEDON, Benjamin Charles.",unchanged,,,Charles Incledon,matched,Charles Incledon,Q4201127,,"The Wandering Melodist: or, The Rose, the thistle, and the Shamrock: consisting of fifteen songs, sung by Mr. I., etc. [electronic resource]","The Wandering Melodist: or, The Rose, the thistle, and the Shamrock: consisting of fifteen songs, sung by Mr. I., etc.",,"London, [1805?]",,,,,,,lsidyv2eb1d8a3,melody,Music
014602881,|||,und,,,,missing,,,,blank,,,,A Working-Man's Song [beginning “The Working-Man has many friends”]. [electronic resource],A Working-Man's Song [beginning “The Working-Man has many friends”].,,"Birmingham : White & Pike, [1885?].",,,,,,,lsidyv2eb1c37c,song,Music
014602912,|||,und,,,"JAMES, Catherine A.",unchanged,,,"JAMES, Catherine A.",none,,,,Teacher Li: a missionary reading ... Arranged as a service of song. [electronic resource],Teacher Li: a missionary reading ... Arranged as a service of song.,,"London : Church Missionary Society, [1898.].",,,,,,,lsidyv2eb22a4b,song,Music
014602914,|||,und,,,"KENNEDY, David, Vocalist, the Elder.",unchanged,,,"KENNEDY, David, Vocalist, the Elder.",none,,,,Book of words of Mr. Kennedy's Entertainment on the songs of Scotland. [electronic resource],Book of words of Mr. Kennedy's Entertainment on the songs of Scotland.,,"London, 1866.",,,,,,,lsidyv2eb1dd3e,song,Music
014602922,|||,und,,,"ROSS, John Wilson.",unchanged,,,John Wilson Ross,matched,John Wilson Ross,Q18810883,,"Fact and Fancy. An ode for the jubilee of the Queen's reign. Also The University Boat Race, a song. [electronic resource]","Fact and Fancy. An ode for the jubilee of the Queen's reign. Also The University Boat Race, a song.",,"London : Diprose & Bateman, 1886.",,,,,,,lsidyv2eb1e424,song,Music
014602959,|||,und,,,,missing,,,,blank,,,,"Songs, Chorusses, etc., in the new pantomime of Harlequin Tour; or, the Dominion of Fancy, as performed at the Theatre Royal, Covent-Garden, etc. [electronic resource]","Songs, Chorusses, etc., in the new pantomime of Harlequin Tour; or, the Dominion of Fancy, as performed at the Theatre Royal, Covent-Garden, etc.",,"London, 1800.",,,,,,,lsidyv2eb27209,pantomime,Music
014603008,|||,und,,,"Dibdin, Charles, 1745-1814.",standardised,1745,1814,Charles Dibdin,matched,Charles Dibdin,Q1064116,,"[Britons strike home.] Songs &c. in Britons strike home. A new entertainment of Sans Souci. Written, composed, spoken, sung, and accompanied by Mr. Dibdin. [electronic resource]","[Britons strike home.] Songs &c. in Britons strike home. A new entertainment of Sans Souci. Written, composed, spoken, sung, and accompanied by Mr. Dibdin.",,"[London : The Author, 1803.].",,,,,,,lsidyv2eb388b3,song,Music
014603017,|||,und,,,"HASTINGS, Mark.",unchanged,,,"HASTINGS, Mark.",none,,,,"Mark Hastings' Radical Songs for Working Men, etc. [electronic resource]","Mark Hastings' Radical Songs for Working Men, etc.",,"Hull : E. Wing & Son, 1885.",,,,,,,lsidyv2eb35911,song,Music
014603025,|||,und,,,"LINN, Harry.",unchanged,,,"LINN, Harry.",none,,,,[Harry Linn's Fire-Side Song Book.] [electronic resource],[Harry Linn's Fire-Side Song Book.],[Another edition.],[1887.],,,,,,,lsidyv2eb31987,song,Music
