Aleph system no.,Author_reconciliation_status,Author_Wikidata_label,Author_Wikidata_QID,Other_authors_structure,Other_personal_authors_clean,Author_review_status,Author_death_year,Author_birth_year,Author_name_clean,Title_clean,Country code,Language code (008),Language code (041),DDC,Personal author,Corporate author,Title,Edition,Imprint,Imprint_clean,Place_after_colon,Publisher_candidate,Publisher_standardised,Publisher_clean,Publisher_role,Place_before_colon,Publication_place_final,Place_QA_status,Place_for_Wikidata,Wikidata_QID_manual_sample,Publication_place,Publication_place_standardised,Year_end,Year_start,Year_status,Publication_year,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre
014602842,blank,,,,,missing,,,,"Songs for Christmas and the New Year, by Lucy A. Bennett, Rev. Richard Wilton [and others], etc.",|||,und,,,,,"Songs for Christmas and the New Year, by Lucy A. Bennett, Rev. Richard Wilton [and others], etc. [electronic resource]",,"London : Castell Bros., [1886.].","London : Castell Bros., [1886.].",Castell Bros.,Castell Bros.,Castell Bros.,Castell Bros.,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1886,Supplied,1886,,,,,lsidyv2eb1ad90,song,Music
014602846,matched,Walter Septimus Curtis,Q109657334,,,unchanged,,,"CURTIS, Walter.","Book of Word & Music of Humorous Songs, Burlesque Sketches, & Recitals. [With a portrait.]",|||,und,,,"CURTIS, Walter.",,"Book of Word & Music of Humorous Songs, Burlesque Sketches, & Recitals. [With a portrait.] [electronic resource]",,"Leeds : Nutt & Co., [1896.].","Leeds : Nutt & Co., [1896.].",Nutt & Co.,Nutt & Co.,Nutt & Co.,Nutt & Co.,Named publisher or ambiguous,Leeds,Leeds,Likely clean single place,Leeds,Q39121,Leeds,Leeds,,1896,Supplied,1896,,,,,lsidyv2eb1a6ef,song,Music
014602856,matched,William Ernest Henley,Q552617,,,standardised,1903,1849,"Henley, William Ernest",Hawthorn and Lavender: songs and madrigals.,|||,und,,,"Henley, William Ernest, 1849-1903.",,Hawthorn and Lavender: songs and madrigals. [electronic resource],,"London : [W. Heinemann, 1899.].","London : [W. Heinemann, 1899.].",W. Heinemann,W. Heinemann,W. Heinemann,W. Heinemann,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1899,Exact,1899,,,,,lsidyv2eb1ac4d,song,Music
014602859,matched,Charles Incledon,Q4201127,,,unchanged,,,"INCLEDON, Benjamin Charles.","Variety: containing original and selected songs in the favourite entertainment now performing by C. I. of Covent Garden Theatre, etc.",|||,und,,,"INCLEDON, Benjamin Charles.",,"Variety: containing original and selected songs in the favourite entertainment now performing by C. I. of Covent Garden Theatre, etc. [electronic resource]",,"London, [1805?]","London, [1805?]",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1805,Uncertain,1805,,,,,lsidyv2eb1d7fe,song,Music
014602860,matched,Charles Incledon,Q4201127,,,unchanged,,,"INCLEDON, Benjamin Charles.","The Wandering Melodist: or, The Rose, the thistle, and the Shamrock: consisting of fifteen songs, sung by Mr. I., etc.",|||,und,,,"INCLEDON, Benjamin Charles.",,"The Wandering Melodist: or, The Rose, the thistle, and the Shamrock: consisting of fifteen songs, sung by Mr. I., etc. [electronic resource]",,"London, [1805?]","London, [1805?]",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1805,Uncertain,1805,,,,,lsidyv2eb1d8a3,melody,Music
014602881,blank,,,,,missing,,,,A Working-Man's Song [beginning “The Working-Man has many friends”].,|||,und,,,,,A Working-Man's Song [beginning “The Working-Man has many friends”]. [electronic resource],,"Birmingham : White & Pike, [1885?].","Birmingham : White & Pike, [1885?].",White & Pike,White & Pike,White & Pike,White & Pike,Named publisher or ambiguous,Birmingham,Birmingham,Likely clean single place,Birmingham,Q2256,Birmingham,Birmingham,,1885,Uncertain,1885,,,,,lsidyv2eb1c37c,song,Music
014602912,none,,,,,unchanged,,,"JAMES, Catherine A.",Teacher Li: a missionary reading ... Arranged as a service of song.,|||,und,,,"JAMES, Catherine A.",,Teacher Li: a missionary reading ... Arranged as a service of song. [electronic resource],,"London : Church Missionary Society, [1898.].","London : Church Missionary Society, [1898.].",Church Missionary Society,Church Missionary Society,Church Missionary Society,Church Missionary Society,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1898,Supplied,1898,,,,,lsidyv2eb22a4b,song,Music
014602914,none,,,,,unchanged,,,"KENNEDY, David, Vocalist, the Elder.",Book of words of Mr. Kennedy's Entertainment on the songs of Scotland.,|||,und,,,"KENNEDY, David, Vocalist, the Elder.",,Book of words of Mr. Kennedy's Entertainment on the songs of Scotland. [electronic resource],,"London, 1866.","London, 1866.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1866,Exact,1866,,,,,lsidyv2eb1dd3e,song,Music
014602922,matched,John Wilson Ross,Q18810883,,,unchanged,,,"ROSS, John Wilson.","Fact and Fancy. An ode for the jubilee of the Queen's reign. Also The University Boat Race, a song.",|||,und,,,"ROSS, John Wilson.",,"Fact and Fancy. An ode for the jubilee of the Queen's reign. Also The University Boat Race, a song. [electronic resource]",,"London : Diprose & Bateman, 1886.","London : Diprose & Bateman, 1886.",Diprose & Bateman,Diprose & Bateman,Diprose & Bateman,Diprose & Bateman,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1886,Exact,1886,,,,,lsidyv2eb1e424,song,Music
014602959,blank,,,,,missing,,,,"Songs, Chorusses, etc., in the new pantomime of Harlequin Tour; or, the Dominion of Fancy, as performed at the Theatre Royal, Covent-Garden, etc.",|||,und,,,,,"Songs, Chorusses, etc., in the new pantomime of Harlequin Tour; or, the Dominion of Fancy, as performed at the Theatre Royal, Covent-Garden, etc. [electronic resource]",,"London, 1800.","London, 1800.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1800,Exact,1800,,,,,lsidyv2eb27209,pantomime,Music
